Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2019,521.00,523.75,518.90,523.00,521.974196048043394033,51620,738,26944308.00,17763,34.41,4.85,2.00
31-December-2018,523.00,525.65,517.80,520.00,520.492271169498786234,56024,1079,29160059.00,9683,17.28,7.85,-3.00
28-December-2018,519.00,525.00,518.20,522.00,522.712444261250796267,80061,1179,41848881.00,19785,24.71,6.80,3.00
27-December-2018,516.25,521.20,514.00,517.95,517.199700382096988671,59409,953,30726317.00,14897,25.08,7.20,1.70
26-December-2018,518.30,518.30,507.75,513.90,511.678594688120688593,308629,2122,157918853.00,195338,63.29,10.55,-4.40
24-December-2018,521.00,521.00,513.60,517.85,517.757734412184673964,39919,804,20668371.00,7129,17.86,7.40,-3.15
21-December-2018,521.00,523.95,515.15,516.80,518.831035706679917654,70435,1280,36543864.00,10934,15.52,8.80,-4.20
20-December-2018,524.05,526.35,516.30,519.85,519.484056607188099460,138145,2266,71764125.00,38742,28.04,10.05,-4.20
19-December-2018,523.75,528.55,523.00,524.85,525.686098654708520179,46161,796,24266196.00,11336,24.56,5.55,1.10
18-December-2018,526.80,527.15,520.45,523.10,523.739651895946337104,79459,1169,41615829.00,16918,21.29,6.70,-3.70
17-December-2018,522.00,529.00,521.55,524.60,524.335253648201490227,42007,934,22025751.00,9301,22.14,7.45,2.60
14-December-2018,528.00,533.25,517.10,521.40,523.100128814366590532,92381,1841,48324513.00,16711,18.09,16.15,-6.60
13-December-2018,532.50,533.05,520.00,527.75,527.388082975973080000,97474,1506,51406626.00,23866,24.48,13.05,-4.75
12-December-2018,522.00,533.00,521.75,530.25,526.461779564502156074,102733,1603,54084998.00,22322,21.73,11.25,8.25
11-December-2018,504.85,523.60,504.75,519.75,515.713707194020028853,118529,1809,61127030.00,21793,18.39,18.85,14.90
10-December-2018,511.80,516.15,503.95,513.00,510.706782856960231812,93869,1943,47939535.00,20508,21.85,12.20,1.20
7-December-2018,520.00,530.40,512.65,515.10,519.065849292091872751,177071,3028,91911509.00,42318,23.90,17.75,-4.90
6-December-2018,529.90,532.05,512.25,517.20,518.325113236034222445,129155,2542,66944280.00,42211,32.68,19.80,-12.70
5-December-2018,547.00,547.00,527.35,529.15,534.456534695615155385,93960,1700,50217536.00,26485,28.19,19.65,-17.85
4-December-2018,536.10,548.60,528.80,546.35,545.161167288564224544,266121,3669,145078835.00,73782,27.72,19.80,10.25
3-December-2018,540.70,545.25,535.00,536.10,539.114995750666705740,68246,1286,36792442.00,15144,22.19,10.25,-4.60
30-November-2018,525.00,541.60,525.00,539.90,535.676735044716153831,207084,3378,110930081.00,54024,26.09,16.60,14.90
29-November-2018,518.10,526.75,515.05,524.55,522.441151575541341219,93333,1662,48761000.00,26755,28.67,11.70,6.45
28-November-2018,519.00,523.50,513.30,515.00,517.128407504098111832,65884,1286,34070488.00,13564,20.59,10.20,-4.00
27-November-2018,525.00,527.00,513.80,517.90,519.368163896896727149,94352,2211,49003425.00,17619,18.67,13.20,-7.10
26-November-2018,519.55,524.00,513.05,522.25,520.463220277039277089,139547,1941,72629081.00,40241,28.84,10.95,2.70
22-November-2018,522.05,524.50,512.15,517.80,517.386168643662878866,96274,1751,49810836.00,23850,24.77,12.35,-4.25
21-November-2018,521.20,527.60,520.00,522.05,523.999386254717350709,76579,1185,40127349.00,17071,22.29,7.60,0.85
20-November-2018,528.80,529.35,519.45,521.30,523.306327778537519292,102374,1558,53572962.00,28973,28.30,9.90,-7.50
19-November-2018,533.15,535.75,524.40,528.70,529.705028989779874213,81408,1632,43122227.00,17180,21.10,11.35,-4.45
16-November-2018,522.00,533.75,522.00,530.90,529.877495395948434622,271500,3556,143861740.00,116338,42.85,11.75,8.90
15-November-2018,520.90,524.90,515.00,519.00,519.930529155680912379,146781,2139,76315923.00,40784,27.79,9.90,-1.90
14-November-2018,529.25,531.75,517.50,520.10,521.726200976433904369,160994,3193,83994788.00,45572,28.31,14.25,-9.15
13-November-2018,533.90,535.00,526.70,528.10,528.871355544327874699,134588,2162,71179738.00,34736,25.81,8.30,-5.80
12-November-2018,528.65,541.80,528.65,531.90,535.114572817674429398,258543,4479,138350127.00,36037,13.94,13.15,3.25
9-November-2018,533.50,536.60,524.10,526.80,527.542432347151893979,266212,6577,140438126.00,63496,23.85,12.50,-6.70
7-November-2018,535.00,538.90,531.15,533.35,533.927630491926398798,66575,1321,35546232.00,21306,32.00,7.75,-1.65
6-November-2018,561.00,561.00,528.10,531.85,535.963328121072163542,704109,13045,377376603.00,146213,20.77,32.90,-29.15
5-November-2018,609.70,616.60,558.10,563.90,581.502266638790883580,770083,14286,447805010.00,104913,13.62,58.50,-45.80
2-November-2018,620.00,620.05,607.00,608.50,612.273728703495991593,169394,2761,103715496.00,43980,25.96,13.05,-11.50
1-November-2018,630.00,631.00,614.20,616.10,618.911808392127738581,70018,1399,43334967.00,9186,13.12,16.80,-13.90
31-October-2018,614.00,630.00,606.50,627.90,620.387852169823194684,150957,2977,93651889.00,39443,26.13,23.50,13.90
30-October-2018,639.30,639.30,608.50,610.30,617.496623785527422578,129583,3028,80017065.00,26942,20.79,30.80,-29.00
29-October-2018,604.00,637.55,602.00,634.60,622.121633391119700727,120559,2308,75002362.00,29613,24.56,35.55,30.60
26-October-2018,608.55,611.00,598.65,603.45,603.743348176498730357,54346,1083,32811036.00,8444,15.54,12.35,-5.10
25-October-2018,620.00,622.50,607.50,610.70,615.114579185308378815,85382,1651,52519713.00,16765,19.64,15.00,-9.30
24-October-2018,625.00,632.90,615.80,620.90,622.164425879998259583,45966,884,28598410.00,6834,14.87,17.10,-4.10
23-October-2018,627.00,631.45,616.40,622.95,622.838146562838430199,38782,1020,24154909.00,6989,18.02,15.05,-4.05
22-October-2018,635.10,640.40,627.55,629.20,633.281890345913028234,262407,804,166177601.00,229305,87.39,12.85,-5.90
19-October-2018,639.00,645.00,626.30,633.85,634.531854624277112805,840553,1228,533357654.00,792294,94.26,18.70,-5.15
17-October-2018,644.00,646.25,637.35,640.15,641.901424231760246904,247221,1012,158691512.00,205161,82.99,8.90,-3.85
16-October-2018,651.95,651.95,637.50,640.00,642.919879251667980541,104018,1216,66875240.00,59961,57.64,14.45,-11.95
15-October-2018,622.55,647.50,619.35,646.00,640.066579264403656721,112888,2180,72255836.00,17268,15.30,28.15,23.45
12-October-2018,621.00,627.70,613.50,622.45,619.705075263087784734,67563,1348,41869134.00,11437,16.93,14.20,1.45
11-October-2018,632.90,633.20,615.10,617.75,624.839878091665689837,51186,1133,31983054.00,12024,23.49,18.10,-15.15
10-October-2018,638.80,650.25,635.00,637.85,641.211348796260389263,95411,1670,61178616.00,25130,26.34,15.25,-0.95
9-October-2018,639.00,642.50,626.10,639.40,637.253254044639992666,87276,1966,55616915.00,28212,32.33,16.40,0.40
8-October-2018,636.00,642.00,629.10,638.35,635.929875087907303841,59722,1367,37979004.00,6972,11.67,12.90,2.35
5-October-2018,637.00,648.00,631.00,634.55,643.605829681683864757,1188504,2216,764928103.00,1098391,92.42,17.00,-2.45
4-October-2018,654.00,654.80,632.70,637.80,644.409061659061659061,102564,2288,66093171.00,26736,26.07,22.10,-16.20
3-October-2018,654.30,663.45,652.00,653.65,657.379432443879711986,59025,1196,38801821.00,10279,17.41,11.45,-0.65
1-October-2018,655.00,660.00,643.85,654.30,649.951620954014308934,78133,1662,50782670.00,21132,27.05,16.15,-0.70
28-September-2018,662.95,662.95,648.50,653.30,654.670368752729768515,112189,2296,73446814.00,20143,17.95,14.45,-9.65
27-September-2018,675.00,677.45,656.50,659.45,666.613173733684993575,133083,2641,88714881.00,29297,22.01,20.95,-15.55
26-September-2018,665.65,673.70,660.00,671.00,668.703106337423801392,113027,2450,75581506.00,22381,19.80,13.70,5.35
25-September-2018,646.00,664.30,645.00,660.20,657.044561990069612515,120237,2594,79001067.00,30159,25.08,19.30,14.20
24-September-2018,664.00,667.80,640.35,646.10,657.113253762499579138,118804,2240,78067683.00,14643,12.33,27.45,-17.90
21-September-2018,665.10,670.15,639.45,660.60,660.330128302806814372,196878,2333,130004475.00,81983,41.64,30.70,-4.50
19-September-2018,665.00,678.00,646.25,659.45,667.369729810216520841,308931,3181,206171198.00,33254,10.76,31.75,-5.55
