Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2019,362.00,364.85,356.50,363.65,360.405774486056766660,257616,2876,92846294.00,62539,24.28,8.35,1.65
31-December-2018,361.60,363.60,359.35,360.00,361.081452749479232459,403731,2650,145779776.00,99557,24.66,4.25,-1.60
28-December-2018,357.35,362.75,357.35,361.05,360.938613736808165961,381486,3223,137693028.00,92597,24.27,5.40,3.70
27-December-2018,357.30,360.70,354.75,355.40,357.411261025536013590,263706,2628,94251494.00,77445,29.37,5.95,-1.90
26-December-2018,351.75,356.50,348.00,355.35,352.467351951203734425,479217,4107,168908347.00,122909,25.65,8.50,3.60
24-December-2018,353.70,357.05,351.75,353.30,354.075326677079964493,290654,2205,102913410.00,51339,17.66,5.30,-0.40
21-December-2018,362.85,363.50,351.30,353.35,354.820651868555602762,1584031,7970,562046912.00,844514,53.31,12.20,-9.50
20-December-2018,363.80,365.60,361.30,362.25,363.340821465039602465,615997,6516,223816856.00,213706,34.69,4.30,-1.55
19-December-2018,364.65,369.25,361.05,366.60,365.595678440624867977,615426,9272,224997086.00,211455,34.36,8.20,1.95
18-December-2018,358.00,362.75,354.55,362.35,361.667053865463905911,7145339,5529,2584233705.00,146326,2.05,8.20,4.35
17-December-2018,352.00,360.00,351.95,358.00,358.151477552473133162,606882,5215,217355685.00,156919,25.86,8.05,6.00
14-December-2018,349.90,354.00,349.35,352.10,352.122632318109058787,692819,5435,243957250.00,226909,32.75,4.65,2.20
13-December-2018,352.15,354.15,347.00,349.30,351.238246524067260092,692476,6088,243224056.00,154888,22.37,7.15,-2.85
12-December-2018,344.40,351.50,339.50,350.40,345.519123404308289816,2410005,7190,832702815.00,1642429,68.15,12.00,6.00
11-December-2018,338.00,344.45,335.90,342.75,340.985808705813164616,1040638,11989,354842790.00,239796,23.04,8.55,4.75
10-December-2018,347.00,349.55,344.35,346.35,346.815662910512156743,472824,5411,163982769.00,169978,35.95,5.20,-0.65
