Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2019,79.00,79.00,75.55,77.25,76.849260389762855130,8518,104,654602.00,6552,76.92,3.45,-1.75
31-December-2018,80.00,80.00,76.25,76.90,76.736091696952753704,3577,47,274485.00,3516,98.29,3.75,-3.10
28-December-2018,80.00,80.00,75.20,76.50,76.646557842441447835,8454,95,647970.00,7347,86.91,4.80,-3.50
27-December-2018,81.00,81.00,76.00,77.15,76.991228070175438596,8892,76,684606.00,6356,71.48,5.00,-3.85
26-December-2018,77.50,77.50,76.50,77.00,77.165454545454545454,550,22,42441.00,550,100.00,1.00,-0.50
24-December-2018,77.50,77.50,76.40,77.25,77.420930232558139534,1720,39,133164.00,1604,93.26,1.10,-0.25
21-December-2018,78.00,78.00,76.00,77.50,77.453005692072747466,14406,104,1115788.00,12590,87.39,2.00,-0.50
20-December-2018,78.00,78.00,77.45,77.65,77.654243439419318816,7164,43,556315.00,7144,99.72,0.55,-0.35
19-December-2018,78.00,78.00,76.60,77.55,77.466969386260436502,6827,45,528867.00,5556,81.38,1.40,-0.45
18-December-2018,79.05,79.05,76.00,76.55,77.018291089626339169,7654,75,589498.00,5065,66.17,3.05,-2.50
17-December-2018,79.25,79.25,76.00,77.70,77.619174302886983939,10149,96,787757.00,8286,81.64,3.25,-1.55
14-December-2018,79.25,79.25,76.65,78.05,77.616590463749183540,1531,46,118831.00,1531,100.00,2.60,-1.20
13-December-2018,79.50,80.00,77.50,78.00,77.995343061161130083,3221,40,251223.00,2596,80.60,2.50,-1.50
12-December-2018,78.95,79.70,76.75,78.35,77.554657914668013127,3961,62,307194.00,3250,82.05,2.95,-0.60
11-December-2018,80.45,80.45,76.50,76.95,77.774150117805452709,5942,103,462134.00,5143,86.55,3.95,-3.50
10-December-2018,82.50,82.50,78.00,78.15,78.737934904601571268,7128,94,561244.00,4881,68.48,4.50,-4.35
7-December-2018,83.00,83.00,76.90,78.65,77.708230752565339845,50773,278,3945480.00,39561,77.92,6.10,-4.35
6-December-2018,78.00,80.50,78.00,78.95,78.788571428571428571,5425,41,427428.00,5425,100.00,2.50,0.95
5-December-2018,80.00,80.00,76.00,78.00,78.149959096343842426,15891,111,1241881.00,13783,86.73,4.00,-2.00
4-December-2018,80.90,81.00,78.05,79.00,79.020281690140845070,1775,35,140261.00,1775,100.00,2.95,-1.90
3-December-2018,79.00,80.00,78.65,79.00,79.138141809290953545,818,25,64735.00,818,100.00,1.35,0.00
30-November-2018,81.00,81.00,78.00,79.00,78.742756027427560274,4521,68,355996.00,3940,87.15,3.00,-2.00
29-November-2018,80.90,80.90,78.05,79.00,79.316426668465248035,29653,54,2351970.00,29279,98.74,2.85,-1.90
28-November-2018,80.00,80.00,77.60,78.70,78.816912186722785536,5227,63,411976.00,4992,95.50,2.40,-1.30
27-November-2018,78.95,80.00,78.00,79.00,79.151944747364594692,2751,60,217747.00,2481,90.19,2.00,0.05
26-November-2018,78.00,80.45,76.20,79.10,78.514938255211791262,7531,67,591296.00,6404,85.04,4.25,1.10
22-November-2018,81.40,81.40,77.00,78.35,77.727910339840925524,13830,243,1074977.00,9771,70.65,4.40,-3.05
21-November-2018,81.80,81.80,78.75,80.00,80.141580432737535277,2126,83,170381.00,1391,65.43,3.05,-1.80
20-November-2018,83.90,83.90,79.00,80.00,79.975184694070846751,5279,94,422189.00,4844,91.76,4.90,-3.90
19-November-2018,78.00,85.00,76.00,77.70,78.168872439060864363,26748,147,2090861.00,24575,91.88,9.00,-0.30
16-November-2018,82.00,83.95,72.00,76.95,77.642282899978271891,27614,127,2144014.00,24735,89.57,11.95,-5.05
15-November-2018,83.95,83.95,66.20,81.15,75.187574434299325129,20152,171,1515180.00,11076,54.96,17.75,-2.80
14-November-2018,78.05,86.00,67.00,80.95,75.820463014350273527,25226,190,1912647.00,13546,53.70,19.00,2.90
13-November-2018,79.35,83.40,79.00,81.15,81.026249594287568971,24648,130,1997135.00,22788,92.45,4.40,1.80
12-November-2018,80.00,80.00,77.10,79.75,78.539266355729232320,7933,82,623052.00,7677,96.77,2.90,-0.25
9-November-2018,82.00,82.00,72.05,77.60,73.275045095980400075,37143,108,2721655.00,23475,63.20,9.95,-4.40
7-November-2018,79.90,79.90,71.00,73.00,72.785383630454052989,10153,69,738990.00,8928,87.93,8.90,-6.90
6-November-2018,71.00,71.00,67.75,69.40,68.796013039117352056,7976,98,548717.00,7975,99.99,3.25,-1.60
5-November-2018,73.00,73.00,65.10,69.05,69.615167607036176568,12052,141,839002.00,10446,86.67,7.90,-3.95
2-November-2018,72.00,72.00,68.00,69.25,69.187376725838264299,12675,101,876950.00,11882,93.74,4.00,-2.75
1-November-2018,69.95,71.95,67.00,70.30,69.255782017924255565,13836,99,958223.00,12129,87.66,4.95,0.35
31-October-2018,69.00,69.95,66.45,68.15,68.657682173556217873,23151,96,1589494.00,19581,84.58,3.50,-0.85
30-October-2018,69.00,69.75,66.05,67.65,68.344479677140386278,17345,85,1185435.00,16649,95.99,3.70,-1.35
29-October-2018,72.00,72.50,64.00,66.85,66.265811032222829055,36620,127,2426654.00,31773,86.76,8.50,-5.15
26-October-2018,71.50,72.50,66.50,68.00,68.492879914984059511,9410,53,644518.00,9310,98.94,6.00,-3.50
25-October-2018,72.50,72.50,67.00,68.15,68.156320173850054328,13805,58,940898.00,13740,99.53,5.50,-4.35
24-October-2018,71.45,71.45,67.00,68.95,68.310132487404366486,5359,49,366074.00,4644,86.66,4.45,-2.50
23-October-2018,68.80,70.50,65.00,68.15,68.364023812745230685,14782,87,1010557.00,12410,83.95,5.50,-0.65
22-October-2018,69.75,72.00,65.00,67.05,67.055713972362360166,9118,68,611414.00,8343,91.50,7.00,-2.70
19-October-2018,75.00,75.00,69.00,69.30,69.511209209729074699,11553,82,803063.00,11397,98.65,6.00,-5.70
17-October-2018,74.95,74.95,69.75,70.25,70.901137140371590132,16093,89,1141012.00,14872,92.41,5.20,-4.70
16-October-2018,75.95,75.95,70.60,72.10,72.566244498338273601,11133,71,807880.00,8502,76.37,5.35,-3.85
15-October-2018,75.00,75.00,72.00,73.75,73.587370929308975377,7554,91,555879.00,5617,74.36,3.00,-1.25
12-October-2018,75.80,75.80,71.45,72.85,73.307662082514734774,10180,122,746272.00,8436,82.87,4.35,-2.95
11-October-2018,75.95,75.95,72.00,73.50,73.110630038817557479,13396,93,979390.00,12725,94.99,3.95,-2.45
10-October-2018,75.00,75.00,73.50,74.95,74.709857877230117931,6614,43,494131.00,6013,90.91,1.50,-0.05
9-October-2018,76.00,76.00,74.00,74.45,74.724432424738452779,14051,49,1049953.00,13981,99.50,2.00,-1.55
8-October-2018,77.40,77.40,74.50,74.95,75.645433842701079243,30299,111,2291981.00,29772,98.26,2.90,-2.45
5-October-2018,77.95,77.95,73.00,76.50,75.891131939437635183,4161,55,315783.00,3771,90.63,4.95,-1.45
4-October-2018,77.80,77.80,74.00,75.20,75.197940924132859419,8159,111,613540.00,6933,84.97,3.80,-2.60
3-October-2018,77.85,79.65,71.00,75.15,75.464923814680176347,12929,146,975686.00,11769,91.03,8.65,-2.70
1-October-2018,78.50,78.50,76.00,77.65,77.384721583064887252,2173,35,168157.00,2173,100.00,2.50,-0.85
28-September-2018,80.90,80.90,75.00,76.40,77.304097056483691328,15084,95,1166055.00,13795,91.45,5.90,-4.50
27-September-2018,81.90,82.10,76.00,78.30,78.431897869279870538,11123,83,872398.00,11068,99.51,6.10,-3.60
26-September-2018,76.05,80.50,75.00,79.55,78.195108865739705816,22367,200,1748990.00,16411,73.37,5.50,3.50
25-September-2018,80.00,82.80,72.00,78.60,76.816186414230729220,19226,120,1476868.00,12125,63.07,10.80,-1.40
24-September-2018,80.00,84.20,76.00,77.75,78.741775126536514822,22128,140,1742398.00,20815,94.07,8.20,-2.25
21-September-2018,79.10,83.25,79.00,82.00,80.585718864807554799,40557,73,3268315.00,34573,85.25,4.25,2.90
19-September-2018,82.50,84.15,81.00,81.95,81.668469442942130881,11094,69,906030.00,9755,87.93,3.15,-0.55
18-September-2018,82.10,83.85,81.20,82.85,81.983201835983649968,73639,807,6037161.00,72483,98.43,2.65,0.75
17-September-2018,81.10,84.45,81.10,82.40,82.610387953037263910,7836,48,647335.00,7559,96.47,3.35,1.30
14-September-2018,82.95,83.00,81.00,82.40,82.236900369003690036,5420,36,445724.00,4870,89.85,2.00,-0.55
12-September-2018,81.10,82.50,80.35,82.45,81.707874617737003058,13080,39,1068739.00,10385,79.40,2.15,1.35
11-September-2018,82.00,83.00,80.55,82.00,81.936621485943775100,7968,60,652871.00,7063,88.64,2.45,0.00
10-September-2018,83.00,85.00,82.05,82.40,82.213261510837501603,38985,60,3205084.00,38324,98.30,2.95,-0.60
7-September-2018,82.80,83.75,82.00,83.15,82.866985998526160648,2714,21,224901.00,2388,87.99,1.75,0.35
6-September-2018,81.50,82.95,81.00,81.60,81.702675916749256689,3027,27,247314.00,2951,97.49,1.95,0.10
5-September-2018,80.00,83.50,79.40,82.00,81.204076776649746192,12608,62,1023821.00,9733,77.20,4.10,2.00
4-September-2018,80.10,83.40,79.85,80.85,80.415063107800537968,24165,81,1943230.00,19583,81.04,3.55,0.75
3-September-2018,83.70,85.95,81.00,82.45,82.602159244264507422,3705,43,306041.00,2020,54.52,4.95,-1.25
31-August-2018,79.00,82.75,78.50,82.00,81.864417568427753023,3142,25,257218.00,2950,93.89,4.25,3.00
30-August-2018,82.75,82.75,81.05,82.10,81.935599284436493738,2236,21,183208.00,1886,84.35,1.70,-0.65
29-August-2018,81.90,82.75,79.90,80.55,81.564801178203240058,4074,39,332295.00,3076,75.50,2.85,-1.35
28-August-2018,81.00,81.45,78.40,80.15,79.335280670561341122,3937,32,312343.00,3548,90.12,3.05,-0.85
27-August-2018,80.95,83.00,79.00,79.15,79.905284588828892626,11297,87,902690.00,9690,85.77,4.00,-1.80
24-August-2018,85.95,97.45,69.00,76.75,78.552571224708220783,39242,174,3082560.00,21402,54.54,28.45,-9.20
23-August-2018,82.20,85.90,82.20,84.05,83.834956614131397202,5647,33,473416.00,5471,96.88,3.70,1.85
21-August-2018,82.00,85.50,81.05,83.00,82.787138263665594855,12440,68,1029872.00,11085,89.11,4.45,1.00
