Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2019,87.50,89.80,86.90,88.35,88.485262649271760889,449097,2377,39738466.00,135449,30.16,2.90,0.85
31-December-2018,87.75,88.85,85.00,87.20,87.891580750716761427,227063,1391,19956926.00,50423,22.21,3.85,-0.55
28-December-2018,88.30,89.15,86.65,87.25,88.146653725447246277,264787,1709,23340088.00,59480,22.46,2.50,-1.05
27-December-2018,89.60,90.75,86.45,87.00,88.397759875876350790,311947,2220,27575416.00,86226,27.64,4.30,-2.60
26-December-2018,87.40,90.15,85.50,88.75,87.413370237843410072,335641,2405,29339511.00,61412,18.30,4.65,1.35
24-December-2018,91.40,91.60,86.75,88.55,88.702852507773421657,362453,2850,32150615.00,87945,24.26,4.85,-2.85
21-December-2018,94.40,95.50,90.55,91.40,93.116140472610924790,778230,5049,72465774.00,189826,24.39,4.95,-3.00
20-December-2018,89.90,93.85,89.35,91.85,91.983976941230845693,1263554,6051,116226722.00,462947,36.64,4.50,1.95
19-December-2018,84.85,91.65,84.85,90.65,89.519247302449600039,1284128,7561,114954172.00,179271,13.96,6.80,5.80
18-December-2018,83.20,84.40,82.60,83.35,83.528109887585969299,156742,1232,13092363.00,35638,22.74,1.80,0.15
17-December-2018,83.40,85.50,82.45,84.05,84.276374552660376800,405732,2556,34193622.00,98919,24.38,3.05,0.65
14-December-2018,80.25,84.15,79.65,83.05,82.474196946197676058,602855,4162,49719982.00,149489,24.80,4.50,2.80
13-December-2018,81.60,83.70,79.20,80.20,81.691717399576017828,735880,5409,60115301.00,220213,29.93,4.50,-1.40
12-December-2018,72.70,78.70,72.45,78.70,76.859180355697161212,306328,1884,23544119.00,143898,46.98,6.25,6.00
11-December-2018,69.80,72.70,68.65,71.55,70.912890661357673929,633893,2293,44951185.00,330647,52.16,4.05,1.75
10-December-2018,72.55,73.35,70.00,70.55,71.570509242660023138,270539,1213,19362614.00,129657,47.93,3.35,-2.00
7-December-2018,78.10,78.55,74.50,75.25,76.315029166073860287,196804,1316,15019103.00,57344,29.14,4.05,-2.85
6-December-2018,79.00,79.60,76.80,77.30,77.594755700174748191,215739,1498,16740215.00,47366,21.96,2.80,-1.70
5-December-2018,78.70,80.40,78.20,79.95,79.521971735164053560,161685,1079,12857510.00,40333,24.95,2.20,1.25
4-December-2018,80.40,81.90,78.45,79.20,80.109245760761144786,325825,2171,26101595.00,119030,36.53,3.45,-1.20
3-December-2018,79.40,81.60,78.10,80.10,79.871464919720410610,307737,1855,24579405.00,86288,28.04,3.50,0.70
30-November-2018,75.90,79.50,75.90,78.45,78.767245451016886536,427678,2049,33687018.00,96487,22.56,3.60,2.55
29-November-2018,78.60,78.60,75.15,75.75,77.093872707118656805,319358,1846,24620545.00,96061,30.08,3.45,-2.85
28-November-2018,80.10,80.50,76.75,77.35,78.002477330261347508,276911,1862,21599744.00,86716,31.32,3.75,-2.75
27-November-2018,81.10,82.50,79.90,80.75,81.185809195596255649,462243,2841,37527572.00,209463,45.31,2.60,-0.35
26-November-2018,84.30,84.30,80.05,81.15,81.437030488967465723,288465,1621,23491733.00,83354,28.90,4.25,-3.15
22-November-2018,83.90,85.30,82.40,83.10,84.127071731360651649,421085,2275,35424648.00,143527,34.09,2.90,-0.80
21-November-2018,83.00,84.70,82.40,83.50,83.591701722843826912,286445,1848,23944425.00,59832,20.89,2.30,0.50
20-November-2018,84.90,85.80,81.25,82.10,83.343108993702207422,281686,1766,23476587.00,49224,17.47,4.55,-2.80
19-November-2018,84.20,85.95,83.45,84.45,84.940832712791789425,247096,1408,20988540.00,53634,21.71,2.50,0.25
16-November-2018,87.05,87.60,82.35,83.35,84.098211583852811232,462644,2844,38907533.00,152829,33.03,5.25,-3.70
15-November-2018,91.00,91.80,86.25,86.45,87.184018279535287870,590387,2746,51472311.00,200804,34.01,5.55,-4.55
14-November-2018,91.00,94.50,90.40,90.75,92.848089301554487948,395693,2054,36739339.00,144110,36.42,4.10,-0.25
13-November-2018,94.30,94.90,89.80,90.40,92.100787031976389040,311042,1839,28647213.00,117945,37.92,5.10,-3.90
12-November-2018,94.75,96.35,93.30,94.25,95.030610693932340187,585547,3982,55644889.00,117406,20.05,3.05,-0.50
9-November-2018,89.15,93.60,88.15,93.40,91.796307357647834963,785183,3754,72076900.00,231078,29.43,5.45,4.25
7-November-2018,87.60,89.90,87.60,89.15,89.105447828674328199,129391,956,11529443.00,61899,47.84,2.30,1.55
6-November-2018,87.90,89.10,84.90,86.95,87.235941987538864756,573463,5589,50026585.00,143345,25.00,4.20,-0.95
5-November-2018,86.65,86.65,79.65,85.85,83.862206058055501754,1254627,7067,105215788.00,266157,21.21,7.00,-0.80
2-November-2018,81.25,82.55,80.80,82.55,82.189381289153733656,366504,1442,30122737.00,91293,24.91,1.75,1.30
1-November-2018,75.90,78.65,74.30,78.65,77.810018288580534506,633182,2439,49267903.00,127319,20.11,4.35,2.75
31-October-2018,72.60,75.65,70.85,74.95,73.710089199137197474,808528,3593,59596671.00,242679,30.01,4.80,2.35
30-October-2018,72.50,75.15,71.35,72.05,73.273791594053864669,439546,2697,32207202.00,131530,29.92,3.80,-0.45
29-October-2018,69.95,73.35,69.95,72.60,71.842149811088340062,555286,3302,39892940.00,141873,25.55,3.40,2.65
26-October-2018,70.60,73.30,69.90,69.90,71.342276958368949940,551007,3956,39310094.00,139213,25.27,3.40,-0.70
25-October-2018,75.00,76.60,73.55,73.55,74.402249561595791319,291968,4094,21723076.00,146408,50.15,3.05,-1.45
24-October-2018,75.80,77.70,74.70,77.40,76.256582673317138380,347845,2773,26525471.00,119562,34.37,3.00,1.60
23-October-2018,73.00,77.90,72.55,74.00,75.767831775962791218,713810,4273,54083836.00,116510,16.32,5.35,1.00
22-October-2018,72.55,79.50,70.30,74.40,74.622587466749972734,1081954,7916,80738207.00,156386,14.45,9.20,1.85
19-October-2018,77.05,80.00,75.40,75.40,76.711710356637222129,950714,4363,72930897.00,323473,34.02,4.60,-1.65
17-October-2018,94.85,94.90,83.75,83.75,87.657920536248740439,733391,5275,64287530.00,220423,30.06,11.15,-11.10
16-October-2018,96.00,97.25,92.25,93.05,94.272833196325815790,279790,2165,26376596.00,69618,24.88,5.00,-2.95
15-October-2018,96.05,98.75,94.30,95.05,96.230062699237826983,406863,3401,39152452.00,92176,22.66,4.45,-1.00
12-October-2018,94.00,97.95,94.00,96.35,96.550562704672293713,780516,4351,75359259.00,343092,43.96,3.95,2.35
11-October-2018,90.20,95.45,88.00,91.85,92.489892677775335061,996159,5855,92134639.00,169016,16.97,7.45,1.65
10-October-2018,87.50,96.55,87.25,95.90,92.378219074708306727,861350,5809,79569979.00,209065,24.27,9.30,8.40
9-October-2018,86.30,89.60,84.80,87.80,87.216087374173812512,1534458,5723,133829423.00,801707,52.25,4.80,1.50
8-October-2018,88.85,89.15,81.75,85.90,85.950976796407185628,801600,4602,68898303.00,182279,22.74,7.40,-2.95
5-October-2018,90.10,92.50,84.80,88.05,89.839635040891221567,680953,5287,61176569.00,175475,25.77,7.70,-2.05
4-October-2018,86.50,94.00,86.20,89.85,90.559928723967823716,1391211,9054,125987969.00,172303,12.39,7.80,3.35
