Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2019,489.45,490.45,482.75,486.40,485.907029478458049886,45423,626,22071355.00,8921,19.64,7.70,-3.05
31-December-2018,495.00,499.00,484.00,488.50,490.105504263155239392,99105,2052,48571906.00,22881,23.09,15.00,-6.50
28-December-2018,479.00,491.00,478.75,488.80,484.481801796766937252,71573,1116,34675816.00,14227,19.88,12.25,9.80
27-December-2018,490.00,491.80,475.20,478.15,483.899532353635013807,72063,1369,34871252.00,14051,19.50,16.60,-11.85
26-December-2018,472.50,488.20,465.40,485.90,479.073164348736354119,80244,1154,38442747.00,14413,17.96,22.80,13.40
24-December-2018,470.00,477.25,467.45,472.90,472.778222383897174730,49482,767,23394012.00,8330,16.83,9.80,2.90
21-December-2018,487.95,495.90,470.00,472.00,481.048447537473233404,78456,1536,37741137.00,15431,19.67,25.90,-15.95
20-December-2018,481.70,496.80,480.70,489.55,490.218503046389575918,132616,2459,65010817.00,26801,20.21,16.10,7.85
19-December-2018,466.10,487.10,466.10,485.05,481.323922755133204071,140799,2872,67769927.00,33358,23.69,21.00,18.95
18-December-2018,466.00,466.00,458.00,463.85,462.861706094377926005,48274,788,22344186.00,8228,17.04,8.00,-2.15
17-December-2018,460.35,464.50,455.20,462.00,459.206131785973330357,35846,712,16460703.00,5325,14.86,9.30,1.65
14-December-2018,462.00,465.35,457.70,461.70,461.495284642390032353,43581,854,20112426.00,8457,19.41,7.65,-0.30
13-December-2018,448.85,468.00,448.85,461.50,461.100931788864370043,152717,2401,70417951.00,32212,21.09,19.15,12.65
12-December-2018,439.00,450.55,438.45,448.30,446.384812463500555733,53083,909,23695445.00,11575,21.81,12.10,9.30
11-December-2018,415.00,440.00,407.95,436.20,432.359430108598186709,100370,1631,43395916.00,10646,10.61,32.05,21.20
10-December-2018,432.50,432.50,417.10,420.60,423.897127430317095697,84454,1509,35799808.00,18087,21.42,15.40,-11.90
7-December-2018,439.40,440.90,430.35,439.35,436.401481004507405022,74544,1128,32531112.00,13221,17.74,10.55,-0.05
6-December-2018,427.50,446.60,427.50,435.90,439.381573680699413644,142405,2076,62570133.00,24064,16.90,19.10,8.40
5-December-2018,440.90,446.45,428.15,433.75,437.422753041522274048,175159,2105,76618532.00,24527,14.00,18.30,-7.15
4-December-2018,447.15,450.70,438.45,444.10,444.631588341335427561,112054,1537,49822748.00,24668,22.01,12.25,-3.05
3-December-2018,469.30,470.05,444.10,446.15,450.311498094094303169,191510,6036,86239155.00,80814,42.20,25.95,-23.15
30-November-2018,469.50,474.55,462.00,466.25,466.898523212163190614,116943,1697,54600514.00,8076,6.91,12.55,-3.25
29-November-2018,468.90,476.25,464.00,469.25,469.720812446700085279,96154,1857,45165535.00,18548,19.29,12.25,0.35
28-November-2018,460.00,467.00,457.25,465.60,464.035612953722727717,61326,1159,28457448.00,22743,37.09,9.75,5.60
27-November-2018,457.00,462.00,450.15,460.85,457.976222555363682942,52697,891,24133973.00,8102,15.37,11.85,3.85
26-November-2018,457.00,464.00,453.65,461.65,460.139201658064130413,50179,1085,23089325.00,8100,16.14,10.35,4.65
22-November-2018,461.60,468.70,455.00,456.60,460.173120422231796639,37136,949,17088989.00,8703,23.44,13.70,-5.00
21-November-2018,456.90,471.90,456.90,467.70,467.196444001953638651,106468,2212,49741471.00,17523,16.46,15.00,10.80
20-November-2018,449.00,466.10,449.00,458.25,460.654646789200383742,65669,1332,30250730.00,13018,19.82,17.10,9.25
19-November-2018,451.00,460.65,451.00,457.50,456.469884395663712833,44462,974,20295564.00,9444,21.24,9.65,6.50
16-November-2018,467.50,470.05,448.85,453.10,458.841117426248220190,84981,1433,38992777.00,17966,21.14,21.20,-14.40
15-November-2018,455.50,468.00,444.95,466.10,457.709641908955513825,108101,2096,49478870.00,23328,21.58,23.05,10.60
14-November-2018,439.00,460.00,439.00,453.95,451.768675096985387272,127081,2515,57411215.00,38206,30.06,21.00,14.95
13-November-2018,431.30,438.25,430.00,436.75,435.059434579204185321,39758,692,17297093.00,11701,29.43,8.25,5.45
12-November-2018,439.00,443.40,429.10,430.25,436.673014509354715540,62856,1037,27447519.00,13310,21.18,14.30,-8.75
9-November-2018,430.55,440.85,428.85,436.80,436.379684242639955254,78668,1314,34329117.00,19765,25.12,12.00,6.25
7-November-2018,435.05,435.05,428.65,430.55,430.048533519553072625,14320,351,6158295.00,6018,42.03,6.40,-4.50
6-November-2018,423.45,433.60,423.45,426.10,428.121988659503148397,63842,1022,27332164.00,9572,14.99,10.15,2.65
5-November-2018,435.90,435.90,416.80,420.80,422.723295801693287946,57285,1014,24215704.00,12893,22.51,19.10,-15.10
2-November-2018,421.15,436.10,421.15,430.45,431.808150155270048103,197076,2516,85099023.00,75199,38.16,14.95,9.30
1-November-2018,411.00,423.15,411.00,420.55,418.126484993747394747,115152,2357,48148101.00,29491,25.61,12.15,9.55
31-October-2018,407.15,411.75,393.20,409.80,403.217646893172441953,284084,4585,114547682.00,51602,18.16,18.55,2.65
30-October-2018,423.00,427.00,404.00,406.20,412.498483462302883900,221887,4081,91528051.00,44325,19.98,23.00,-16.80
29-October-2018,405.50,419.90,399.20,417.10,408.866075030254134731,148740,2723,60814740.00,24651,16.57,20.70,11.60
26-October-2018,409.00,409.00,400.75,405.30,404.576493667219632935,75954,1588,30729203.00,14391,18.95,8.25,-3.70
25-October-2018,410.00,412.25,401.90,410.30,407.107129832239241429,65808,1207,26790906.00,10558,16.04,10.35,0.30
24-October-2018,424.15,426.85,405.35,412.25,413.045312182659725711,93551,1457,38640802.00,19960,21.34,21.50,-11.90
23-October-2018,415.00,421.35,409.70,417.95,415.606170909791662205,46703,1042,19410055.00,8595,18.40,11.65,2.95
22-October-2018,420.15,428.25,414.80,419.50,419.935223148602256007,101950,1992,42812396.00,17095,16.77,13.45,-0.65
19-October-2018,432.00,436.70,416.20,422.95,424.749289738909610348,189015,2434,80283987.00,31870,16.86,20.50,-9.05
17-October-2018,450.55,453.90,429.00,433.00,437.526421200929063701,131315,2599,57453782.00,25209,19.20,24.90,-17.55
16-October-2018,449.50,451.00,438.80,444.75,443.326762991357996688,308609,2150,136814629.00,223283,72.35,12.20,-4.75
15-October-2018,435.05,447.90,430.15,445.65,441.678163615621634876,93793,2636,41426320.00,21946,23.40,17.75,10.60
12-October-2018,416.55,434.20,416.55,430.50,429.063779791876468613,80433,1797,34510887.00,22114,27.49,17.65,13.95
11-October-2018,423.00,423.00,407.60,411.05,413.097268756468503867,171021,2618,70648308.00,34916,20.42,15.40,-11.95
10-October-2018,405.90,436.00,404.30,428.90,422.505829092854332362,226193,3565,95567861.00,31544,13.95,31.70,23.00
9-October-2018,401.00,417.10,397.05,401.90,407.261238323413278126,598955,4356,243931155.00,418278,69.83,20.05,0.90
8-October-2018,395.00,406.05,391.80,397.05,397.980625404645140165,268754,2447,106958885.00,192185,71.51,14.25,2.05
5-October-2018,407.00,412.10,387.60,395.80,400.253647860879422797,254053,3148,101685640.00,106286,41.84,24.50,-11.20
4-October-2018,404.20,416.45,403.55,411.35,409.848806828078731928,137784,2136,56470608.00,49758,36.11,12.90,7.15
3-October-2018,412.25,422.50,409.15,411.60,415.218191853066981464,130454,2168,54166874.00,18701,14.34,13.35,-0.65
1-October-2018,415.00,423.75,405.60,417.85,412.513719149107475334,298087,4219,122964977.00,91580,30.72,18.15,2.85
28-September-2018,425.00,426.35,410.80,416.70,416.005753363420630882,2102770,2043,874764418.00,2021449,96.13,15.55,-8.30
27-September-2018,433.00,433.00,416.70,421.50,424.054114405169137210,84192,1564,35701964.00,24135,28.67,16.30,-11.50
26-September-2018,438.30,443.80,430.50,432.90,436.642606941938223118,113052,1854,49363320.00,34196,30.25,13.30,-5.40
25-September-2018,420.25,441.50,416.95,436.55,428.214262121460733776,469271,4581,200948535.00,262613,55.96,24.55,16.30
24-September-2018,447.50,452.00,415.85,426.80,423.831735587195341010,211548,4747,89660756.00,58804,27.80,36.15,-20.70
21-September-2018,461.85,466.60,393.00,438.20,433.336964547927821187,356171,6421,154342060.00,63788,17.91,73.60,-23.65
19-September-2018,466.00,469.50,460.00,461.50,464.168854665401672440,90646,1590,42075050.00,24055,26.54,9.50,-4.50
18-September-2018,475.60,479.50,465.00,466.35,472.387483938248384513,107398,2299,50733471.00,43842,40.82,14.50,-9.25
17-September-2018,477.00,481.70,473.40,477.05,477.530300484257802355,65461,1009,31259611.00,24171,36.92,8.30,0.05
14-September-2018,480.00,483.85,475.00,479.35,478.968918625003883877,96553,2811,46245886.00,36872,38.19,8.85,-0.65
12-September-2018,471.00,479.50,463.30,477.60,472.441625465361356786,152301,2667,71953332.00,31639,20.77,16.20,6.60
11-September-2018,486.80,487.20,471.25,472.30,478.989251544548378057,149882,4392,71791867.00,60811,40.57,15.95,-14.50
10-September-2018,498.75,501.05,482.75,484.80,490.434750573081541316,146576,2396,71885964.00,46482,31.71,18.30,-13.95
7-September-2018,499.80,502.25,494.50,501.05,499.205026292426415352,73215,1395,36549296.00,16554,22.61,7.75,1.25
6-September-2018,503.15,505.10,496.10,498.35,499.135391899000526038,95050,1846,47442819.00,30947,32.56,9.00,-4.80
5-September-2018,499.35,508.00,493.50,502.45,498.471990447829354847,210214,3872,104785791.00,52080,24.77,14.50,3.10
4-September-2018,524.00,524.00,499.40,503.25,506.394305950290172787,243131,4579,123120154.00,68973,28.37,24.60,-20.75
3-September-2018,530.00,530.00,518.10,520.20,522.800912380429200950,83737,1382,43777780.00,23506,28.07,11.90,-9.80
31-August-2018,526.25,531.20,518.95,521.55,524.091530910185192715,122953,2093,64438626.00,27242,22.16,12.25,-4.70
30-August-2018,521.30,528.50,518.40,525.65,523.905903097209444955,130440,2194,68338286.00,36013,27.61,10.10,4.35
29-August-2018,525.00,527.00,519.25,520.50,523.457126968127628514,115084,2355,60241540.00,33137,28.79,7.75,-4.50
28-August-2018,531.00,534.00,519.10,521.95,523.595910336899814307,226180,5224,118426923.00,54001,23.88,14.90,-9.05
27-August-2018,551.00,552.00,525.10,527.65,532.391273046971138723,759807,16541,404514616.00,200736,26.42,26.90,-23.35
24-August-2018,577.90,583.20,564.05,571.50,576.740568134120145181,162004,3658,93434279.00,26605,16.42,19.15,-6.40
23-August-2018,568.00,575.50,564.55,573.40,571.768544326807610527,90769,1868,51898859.00,25261,27.83,10.95,5.40
21-August-2018,554.00,570.35,551.50,562.60,564.690145191518828231,132859,2585,75024168.00,36128,27.19,18.85,8.60
20-August-2018,561.00,561.00,551.05,553.70,555.996457723702448791,38958,971,21660510.00,11087,28.46,9.95,-7.30
17-August-2018,553.00,559.30,552.10,557.50,556.730103240982749607,61216,1092,34080790.00,20010,32.69,7.20,4.50
16-August-2018,545.05,560.10,541.30,551.35,553.363386459417668044,98947,2350,54753647.00,30489,30.81,18.80,6.30
14-August-2018,550.00,553.00,543.90,546.65,548.039367392821148926,64495,1282,35345799.00,13449,20.85,9.10,-3.35
13-August-2018,548.50,553.60,540.40,545.90,547.364528777866132879,36469,934,19961837.00,6602,18.10,13.20,-2.60
10-August-2018,557.80,560.00,545.00,548.50,551.293053150866873799,42163,902,23244169.00,10088,23.93,15.00,-9.30
9-August-2018,554.00,560.00,548.20,556.80,553.371045162367476417,47916,998,26515327.00,11004,22.97,11.80,2.80
8-August-2018,566.50,566.80,555.50,558.75,559.305179523282711455,49715,1147,27805857.00,14877,29.92,11.30,-7.75
7-August-2018,561.80,567.00,553.65,564.20,561.982960014884202522,247242,4597,138945791.00,75947,30.72,13.35,2.40
6-August-2018,541.15,560.00,541.15,551.30,551.949542539648546715,168102,3639,92783822.00,47421,28.21,18.85,10.15
3-August-2018,538.00,542.90,531.00,540.40,538.180544453326227906,90072,1175,48474998.00,44757,49.69,11.90,2.40
2-August-2018,516.40,535.80,515.00,529.25,529.651234639867558933,85774,2219,45430305.00,26363,30.74,20.80,12.85
1-August-2018,528.20,528.20,516.40,520.00,521.210172855461447924,43331,937,22584558.00,14712,33.95,11.80,-8.20
31-July-2018,531.50,535.85,526.50,529.80,530.295366052973128875,41606,958,22063469.00,14209,34.15,9.35,-1.70
30-July-2018,537.00,540.00,528.10,532.70,533.806645546835625314,55556,1267,29656162.00,16438,29.59,11.90,-4.30
27-July-2018,528.85,537.75,527.60,536.40,534.579936750517714670,62293,1364,33300588.00,21177,34.00,10.15,7.55
26-July-2018,527.00,533.30,523.20,525.25,528.340599502748888188,57114,1241,30175645.00,13183,23.08,10.10,-1.75
25-July-2018,540.00,540.05,525.30,526.35,531.072844228094575799,40264,1030,21383117.00,10224,25.39,14.75,-13.65
24-July-2018,523.00,539.00,521.15,537.50,530.599068957577850687,138984,3127,73744781.00,42058,30.26,17.85,14.50
23-July-2018,523.80,525.55,516.15,521.20,520.544604158310799446,77291,1711,40233413.00,23180,29.99,9.40,-2.60
20-July-2018,519.90,520.00,507.70,516.20,513.898092086736130667,56816,1400,29197634.00,11695,20.58,12.30,-3.70
19-July-2018,516.00,522.50,510.65,514.20,514.762271903602220657,86641,1560,44599518.00,39655,45.77,11.85,-1.80
18-July-2018,521.65,526.00,511.85,515.15,519.348308985391234740,159904,2984,83045872.00,35424,22.15,14.15,-6.50
17-July-2018,490.00,521.00,485.75,517.35,512.298090068975442275,194562,3630,99673741.00,37038,19.04,35.25,27.35
16-July-2018,500.00,500.45,486.10,488.30,491.883714833114853282,49585,1044,24390054.00,10531,21.24,14.35,-11.70
13-July-2018,498.05,504.95,492.00,499.45,498.699580940555641781,64430,1337,32131214.00,13146,20.40,12.95,1.40
12-July-2018,498.45,509.25,496.90,498.05,502.305505601662068426,89527,1831,44969905.00,28490,31.82,12.35,-0.40
11-July-2018,498.00,499.60,491.00,495.15,495.977236671815638959,95812,1590,47520571.00,20128,21.01,8.60,-2.85
10-July-2018,485.00,497.30,482.50,495.95,489.317491887994231462,166420,2889,81432217.00,26178,15.73,14.80,10.95
9-July-2018,484.00,491.65,478.60,480.35,484.301145134824795412,576526,1331,279212202.00,508149,88.14,13.05,-3.65
6-July-2018,470.00,490.55,470.00,484.15,484.486184442097852868,79548,2605,38539907.00,18688,23.49,20.55,14.15
5-July-2018,468.75,476.50,463.15,475.05,472.856107593712524661,77551,1721,36670464.00,17759,22.90,13.35,6.30
4-July-2018,474.00,474.00,456.50,463.05,462.662176511894771096,116774,2715,54026913.00,43355,37.13,17.50,-10.95
