Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2019,2621.10,2633.00,2604.05,2610.80,2616.358240972470504111,16782,885,43907724.00,2449,14.59,28.95,-10.30
31-December-2018,2619.00,2662.75,2610.00,2617.00,2635.845310480202997079,41774,2205,110109802.00,8761,20.97,52.75,-2.00
28-December-2018,2606.00,2633.00,2604.10,2622.05,2620.975283630470016207,17276,908,45279969.00,3126,18.09,28.90,16.05
27-December-2018,2639.00,2650.00,2583.90,2587.50,2606.089706811883113725,20567,1215,53599447.00,3413,16.59,66.10,-51.50
26-December-2018,2600.00,2629.25,2573.00,2618.25,2608.163395835729897618,43465,2345,113363822.00,5380,12.38,56.25,18.25
24-December-2018,2620.45,2700.00,2578.65,2598.50,2597.703126026137781572,30454,1473,79110451.00,1810,5.94,121.35,-21.95
21-December-2018,2613.95,2615.00,2579.00,2604.05,2599.960902255639097744,31255,1842,81261778.00,4936,15.79,36.00,-9.90
20-December-2018,2614.95,2634.05,2593.30,2628.80,2622.207442242376740193,26793,1167,70256804.00,2564,9.57,40.75,13.85
19-December-2018,2649.00,2650.05,2587.45,2613.35,2620.495132542208148484,63791,2650,167164005.00,4524,7.09,62.60,-35.65
18-December-2018,2625.00,2642.90,2584.00,2638.10,2620.489875637755102040,37632,1792,98614275.00,8355,22.20,58.90,13.10
17-December-2018,2591.70,2634.40,2591.70,2612.20,2618.938949294486083254,28419,1349,74427626.00,4367,15.37,42.70,20.50
14-December-2018,2624.90,2624.90,2569.00,2591.60,2586.462123731914185930,24052,1328,62209587.00,2011,8.36,55.90,-33.30
13-December-2018,2630.00,2630.00,2569.20,2596.10,2592.662560348446683459,76224,3846,197623111.00,4533,5.95,60.80,-33.90
12-December-2018,2679.00,2710.50,2535.60,2582.10,2597.121372909213961133,258575,11800,671550659.00,47337,18.31,174.90,-96.90
11-December-2018,2681.00,2744.10,2668.00,2709.20,2713.624457008894711439,58012,2917,157422782.00,4898,8.44,76.10,28.20
10-December-2018,2645.00,2707.35,2638.50,2689.50,2678.277867118070249682,35445,2196,94931559.00,4079,11.51,68.85,44.50
