Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2019,432.00,438.15,429.75,433.10,434.547717556807455410,566783,7139,246294259.00,107478,18.96,8.40,1.10
31-December-2018,429.80,432.30,425.65,430.65,429.751005933448174265,464991,5837,199830350.00,100670,21.65,6.65,0.85
28-December-2018,415.10,428.05,413.95,424.60,423.340834400497397768,889429,11192,376531615.00,172142,19.35,14.10,9.50
27-December-2018,423.25,424.00,410.60,412.30,415.608809396759120410,770223,9174,320111464.00,228693,29.69,13.40,-10.95
26-December-2018,425.00,425.00,410.30,414.00,415.059487218567158618,708606,9131,294113643.00,131720,18.59,14.70,-11.00
24-December-2018,428.95,434.40,422.10,423.45,428.019502961583762441,646107,8469,276546397.00,134422,20.80,12.30,-5.50
21-December-2018,430.30,433.00,423.25,424.75,427.143829388477925089,503694,6093,215149784.00,102193,20.29,9.75,-5.55
20-December-2018,423.00,431.15,422.00,429.25,427.682825035148966249,902587,6801,386020958.00,442075,48.98,9.15,6.25
19-December-2018,434.35,434.80,422.75,424.00,427.547750645894752190,658389,8378,281492736.00,134287,20.40,12.05,-10.35
18-December-2018,421.00,434.90,419.25,433.10,429.527240761025025639,1146664,13073,492523424.00,219925,19.18,15.65,12.10
17-December-2018,422.70,425.50,419.50,420.55,421.673185447935432836,678859,7063,286256637.00,213148,31.40,6.00,-2.15
14-December-2018,422.15,426.20,416.90,419.75,420.329869399254646035,885217,9967,372083146.00,222881,25.18,9.30,-2.40
13-December-2018,422.90,429.55,418.00,422.15,423.588094596090263989,1346229,15451,570246577.00,131225,9.75,11.55,-0.75
12-December-2018,427.80,433.35,423.20,431.30,428.935504737235761782,1414538,16796,606745571.00,218663,15.46,10.15,3.50
11-December-2018,392.00,424.75,391.10,421.80,414.247061505598819889,2609925,25402,1081153762.00,398950,15.29,33.65,29.80
10-December-2018,405.80,409.00,396.70,398.85,401.449174422790304180,1641821,25564,659107685.00,337025,20.53,12.30,-6.95
7-December-2018,424.00,426.35,408.50,411.30,419.177121114582842667,2674938,21478,1121272810.00,790645,29.56,17.85,-12.70
6-December-2018,416.00,431.00,413.05,420.10,422.744923294159520103,4293089,40585,1814881580.00,1200977,27.97,17.95,4.10
5-December-2018,443.00,445.45,402.10,413.60,425.099408896960427057,3297733,44609,1401864349.00,579878,17.58,43.35,-29.40
4-December-2018,459.50,464.70,441.70,442.80,453.264545613233767369,3168017,34218,1435949786.00,1146086,36.18,23.00,-16.70
3-December-2018,467.00,467.00,441.95,455.30,452.234204191171868323,4809013,50836,2174800167.00,1740105,36.18,25.05,-11.70
30-November-2018,487.00,493.90,481.20,492.30,482.603849932161995977,2889973,7914,1394712096.00,2263856,78.33,12.70,5.30
29-November-2018,490.00,491.50,479.05,483.40,482.549680123195549158,2187092,6775,1055380545.00,1749002,79.97,12.45,-6.60
28-November-2018,491.00,502.25,482.00,486.35,491.162600678797360818,720981,9669,354118903.00,103302,14.33,20.25,-4.65
27-November-2018,516.65,521.20,474.65,493.60,490.766442215367328251,2605762,40142,1278820546.00,498933,19.15,46.55,-23.05
26-November-2018,526.30,528.00,507.20,510.65,513.691646449014347211,295946,5660,152024988.00,90553,30.60,20.80,-15.65
22-November-2018,533.00,533.00,524.15,525.80,527.631983808932502277,124019,2249,65436391.00,30353,24.47,8.85,-7.20
21-November-2018,526.30,535.00,526.30,531.15,531.331526209195991898,226142,3730,120156374.00,59171,26.17,8.70,4.85
20-November-2018,531.00,532.25,522.10,525.50,525.914251967212218315,182873,2816,96175517.00,35160,19.23,10.15,-5.50
19-November-2018,528.00,532.50,520.25,530.55,527.843355165180072701,312235,5230,164811170.00,93404,29.91,12.25,2.55
16-November-2018,522.00,525.60,514.15,519.60,520.455224010933113273,458058,6897,238398679.00,85378,18.64,11.45,-2.40
15-November-2018,522.00,528.45,509.00,514.95,517.047919095557608858,826852,13452,427522106.00,142926,17.29,19.45,-7.05
14-November-2018,558.50,558.55,517.60,520.35,531.058947098797536660,1920807,31552,1020061743.00,440214,22.92,40.95,-38.15
13-November-2018,594.90,594.90,556.05,561.70,568.211520891224488509,793515,11252,450884365.00,188343,23.74,38.85,-33.20
12-November-2018,598.65,600.70,586.25,589.55,594.925754544855026268,181964,2775,108255070.00,46058,25.31,14.45,-9.10
9-November-2018,585.40,603.75,582.00,595.90,596.962775168934599662,312399,5213,186490574.00,55538,17.78,21.75,10.50
7-November-2018,585.00,585.00,580.55,582.40,582.018650355961094956,29919,820,17413416.00,14775,49.38,4.45,-2.60
6-November-2018,577.90,586.00,575.20,579.15,580.911594615679912820,161506,2646,93820708.00,34636,21.45,10.80,1.25
5-November-2018,574.00,583.60,565.00,572.60,574.925131479839757903,150023,2489,86251993.00,19975,13.31,18.60,-1.40
2-November-2018,576.00,585.00,568.45,571.40,573.453888242430244361,161564,2465,92649504.00,37602,23.27,16.55,-4.60
