Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-March-2019,370.00,378.00,365.60,375.50,370.626005171204144813,407642,4007,151082726.00,168464,41.33,12.40,5.50
28-February-2019,375.00,376.75,367.75,370.00,372.216609892454454063,276534,4063,102930548.00,59931,21.67,9.00,-5.00
27-February-2019,380.00,383.25,371.50,373.55,377.576505552688100431,360366,4925,136065735.00,87809,24.37,11.75,-6.45
26-February-2019,386.05,388.80,380.00,387.20,385.878869238093751463,128126,2415,49441116.00,24306,18.97,8.80,1.15
25-February-2019,379.70,396.00,379.70,386.05,382.965830488347929345,168425,3193,64501020.00,35232,20.92,16.30,6.35
22-February-2019,374.40,380.00,373.00,379.00,378.141581549882545327,77051,1933,29136187.00,25047,32.51,7.00,4.60
21-February-2019,370.00,376.50,370.00,374.50,373.834063091309633719,109397,1987,40896325.00,21639,19.78,6.50,4.50
20-February-2019,364.00,374.00,361.45,372.45,367.145637551877116824,125778,2052,46178844.00,16916,13.45,12.55,8.45
19-February-2019,373.70,374.90,361.90,366.05,366.368036659623735975,1026088,2159,375925846.00,902180,87.92,13.00,-7.65
18-February-2019,377.50,378.15,370.00,375.55,374.095247374851035444,133421,2655,49912162.00,27588,20.68,8.15,-1.95
15-February-2019,374.00,377.90,370.20,375.55,374.590948744607368634,83679,1229,31345396.00,16332,19.52,7.70,1.55
14-February-2019,378.00,378.30,374.30,375.35,376.359108035371011149,65025,985,24472751.00,23582,36.27,4.00,-2.65
13-February-2019,373.00,379.45,373.00,377.25,376.751033648559489773,90940,1793,34261739.00,22817,25.09,6.45,4.25
12-February-2019,373.00,375.30,368.50,374.30,372.405727335458219695,121732,2424,45333694.00,43391,35.64,6.80,1.30
11-February-2019,372.40,377.00,370.00,372.50,373.708172978185747068,111991,1581,41851952.00,22175,19.80,7.00,0.10
8-February-2019,372.50,374.90,370.00,372.40,372.955924373749880941,41996,968,15662657.00,11462,27.29,4.90,-0.10
7-February-2019,374.00,374.50,369.90,373.65,372.612555027731489541,80414,2230,29963266.00,27308,33.96,4.60,-0.35
6-February-2019,368.40,374.80,368.35,372.05,372.733780463794417004,233638,1605,87084775.00,25197,10.78,6.45,3.65
5-February-2019,371.20,372.00,366.10,368.55,368.894128743220938457,156917,1840,57885760.00,38457,24.51,5.90,-2.65
4-February-2019,370.00,374.80,368.25,371.10,371.327867403670019603,124468,1894,46218437.00,22732,18.26,6.55,1.10
1-February-2019,370.00,372.60,363.55,371.35,368.626800127572925099,163044,4257,60102388.00,50052,30.70,9.05,1.35
31-January-2019,367.00,370.95,363.70,369.30,367.590774079448576092,176416,3716,64848894.00,60459,34.27,7.25,2.30
30-January-2019,360.00,367.45,358.45,362.50,364.041550382680028753,189192,2878,68873749.00,44620,23.58,9.00,2.50
29-January-2019,355.65,359.75,353.25,358.60,356.955310846207302079,112242,1877,40065378.00,24535,21.86,6.50,2.95
